date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:37:21	128/128	---M-Z	200	added ('OK')	text/plain	date:Thu,%2004%20Apr%202024%2000:37:21%20GMT	https://packdigital.click/robots.txt		(from )
19:37:22	175640/175640	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Apr%202024%2014:41:09%20GMT	https://packdigital.click/canva-pro-2024/	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/canva-pro-2024/index.html	(from )
19:37:22	3795/3795	---MCZ	200	added ('OK')	text/css	etag:W/%2264a3b8f7-ed3%22	https://packdigital.click/wp-content/plugins/op-builder/public/assets/css/op3-reboot.css?ver=6.5	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/plugins/op-builder/public/assets/css/op3-reboot8f99.css	(from https://packdigital.click/canva-pro-2024/)
19:37:22	341840/341840	---MCZ	200	added ('OK')	text/css	etag:W/%22660d6a84-53750%22	https://packdigital.click/wp-content/plugins/op-builder/public/assets/cache/page-996.css?ver=977e0e7df55d54fcd01606fe90718ecf	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/plugins/op-builder/public/assets/cache/page-996532e.css	(from https://packdigital.click/canva-pro-2024/)
19:37:23	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22654b9778-15601%22	https://packdigital.click/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-includes/js/jquery/jquery.minf43b.js	(from https://packdigital.click/canva-pro-2024/)
19:37:23	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264d2fdbf-3509%22	https://packdigital.click/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://packdigital.click/canva-pro-2024/)
19:37:23	1191/1191	---M--	200	added ('OK')	image/jpeg	etag:%2263cc064f-4a7%22	https://packdigital.click/wp-content/uploads/2023/01/cropped-325969969_774069150966747_6968023406538767248_n-32x32.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/cropped-325969969_774069150966747_6968023406538767248_n-32x32.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:23	12379/12379	---M--	200	added ('OK')	image/jpeg	etag:%2263cc064f-305b%22	https://packdigital.click/wp-content/uploads/2023/01/cropped-325969969_774069150966747_6968023406538767248_n-192x192.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/cropped-325969969_774069150966747_6968023406538767248_n-192x192.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:23	11424/11424	---M--	200	added ('OK')	image/jpeg	etag:%2263cc064f-2ca0%22	https://packdigital.click/wp-content/uploads/2023/01/cropped-325969969_774069150966747_6968023406538767248_n-180x180.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/cropped-325969969_774069150966747_6968023406538767248_n-180x180.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:24	21256/21256	---M--	200	added ('OK')	image/jpeg	etag:%2263cc064f-5308%22	https://packdigital.click/wp-content/uploads/2023/01/cropped-325969969_774069150966747_6968023406538767248_n-270x270.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/cropped-325969969_774069150966747_6968023406538767248_n-270x270.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:24	207017/207017	---M--	200	added ('OK')	image/jpeg	etag:%2265ffb14c-328a9%22	https://packdigital.click/wp-content/uploads/2024/03/2-1.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2024/03/2-1.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:24	83571/83571	---M--	200	added ('OK')	image/png	etag:%2263cc05eb-14673%22	https://packdigital.click/wp-content/uploads/2023/01/diseno-sin-titulo-4.png	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/diseno-sin-titulo-4.png	(from https://packdigital.click/canva-pro-2024/)
19:37:24	110290/110290	---M--	200	added ('OK')	image/jpeg	etag:%2263cc1548-1aed2%22	https://packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_15-51-44.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_15-51-44.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:25	100816/100816	---M--	200	added ('OK')	image/jpeg	etag:%2263cc154a-189d0%22	https://packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_15-51-48.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_15-51-48.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:25	111564/111564	---M--	200	added ('OK')	image/jpeg	etag:%2263cc154b-1b3cc%22	https://packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_15-51-51.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_15-51-51.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:25	105479/105479	---M--	200	added ('OK')	image/jpeg	etag:%2263cc154c-19c07%22	https://packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_16-07-45.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_16-07-45.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:25	104002/104002	---M--	200	added ('OK')	image/jpeg	etag:%2263cc154e-19642%22	https://packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_16-07-48.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_16-07-48.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:26	111441/111441	---M--	200	added ('OK')	image/jpeg	etag:%2263cc154f-1b351%22	https://packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_16-07-52.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_16-07-52.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:26	113223/113223	---M--	200	added ('OK')	image/jpeg	etag:%2263cc1550-1ba47%22	https://packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_16-07-56.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/photo_2022-11-22_16-07-56.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:26	94038/94038	---M--	200	added ('OK')	image/jpeg	etag:%2263cd60c9-16f56%22	https://packdigital.click/wp-content/uploads/2023/01/photo_2023-01-22_11-04-28-576x1280.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/photo_2023-01-22_11-04-28-576x1280.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:26	98141/98141	---M--	200	added ('OK')	image/jpeg	etag:%2263cd60c9-17f5d%22	https://packdigital.click/wp-content/uploads/2023/01/photo_2023-01-22_11-04-34-576x1280.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/photo_2023-01-22_11-04-34-576x1280.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:26	111109/111109	---M--	200	added ('OK')	image/jpeg	etag:%2263cd60ca-1b205%22	https://packdigital.click/wp-content/uploads/2023/01/photo_2023-01-22_11-04-39-576x1280.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2023/01/photo_2023-01-22_11-04-39-576x1280.jpg	(from https://packdigital.click/canva-pro-2024/)
19:37:27	202216/202216	---M--	200	added ('OK')	image/jpeg	etag:%2265fc558a-315e8%22	https://packdigital.click/wp-content/uploads/2024/03/Negro-Rojo-Elegante-y-Profesional-Basico-Simple-Presentacion.jpg	E:/2.%20paginas/PACKDIGITAL1/Packdigital1/packdigital.click/wp-content/uploads/2024/03/Negro-Rojo-Elegante-y-Profesional-Basico-Simple-Presentacion.jpg	(from https://packdigital.click/canva-pro-2024/)
